Author,Date,Title,Journal,Journal ID,Volume,Page Start,Page End,Keword,Keword2,Reprint,LookupNumber,PDF
"[A]villa, S. and R.W. Flowers.",2006.,Adult stages of two species of ^Traverella^ (Ephemeroptera: Leptophlebiidae) from Costa Rica.,,141,117,395,398,"Leptophlebiidae, holzenthali, promifrons, Costa Rica",PDF,0,1104,1
"[A]villa, Socorro, and R. Wills Flowers.",2006.,Two new species of ^Choroterpes^ Eaton (Ephemeroptera: Leptophlebiidae) from Costa Rica.,,1917,1245,59,68,"Costa Rica, Choroterpes, new species",PDF,0,1064,1
Al-Zubaidi F; Braasch D; Al-Kayatt A,1987.,Mayflies from Iraq (Insecta: Ephemeroptera),Faunistische Abhandlungen Staatliches Museum f黵 Tierkunde Dresden,0,14,179,184,Iraq,,0,1017,0
"Alba-Tercedor, J.",2002.,"A new synonym in ^Baetis: Baetis nexus^ Navas, 1918 is the valid name of ^Baetis pentaphlebodes^ Ujhelyi, 1966 (Ephemeroptera: Baetidae).",,423,24,77,79,"Baetidae, Baetis pentaphlebodes, nexus",,0,945,0
"Alba-Tercedor, J. and C. Zamora-Munoz.",1993.,"^Caenis nachoi^ sp.n., with keys for the identification of the European species of the ^Caenis macrura^ group (Ephemeroptera: Caenidae).",,423,15,239,247,"Ephemeroptera, Caenidae, systematics, taxonomy, Europe, spain, Caenis, nachoi, luctuosa, martae.",,0,417,1
"Alba-Tercedor, J. and J. Flannagan.",1995,"Two new Canadian species of the genus ^Tricorythodes^ Ulmer, with additional studies on other North American species (Insecta, Ephemeroptera: Leptohyphidae).",,873,73,1588,1598,"Ephemeroptera, Leptohyphidae, Tricorythodes mosequs, cobbi, Canada, Manitoba, systematics, stygiatus, atratus, periius",,1,13,1
"Alba-Tercedor, J. and P. Malzacher.",1986.,A new synonym in the genus ^Caenis^ Stephens 1835 (Ephemeroptera: Caenidae).,,423,8,55,58,"Ephemeroptera, Caenidae, Caenis",,0,104,1
"Alba-Tercedor, J. and R. Sowa",1987,"New representatives of the ^Rhitheogena diaphana^-group from Continental Europe, with a redescription of ^R. diaphana^ Navas, 1917 (Ephemeroptera: Heptageniidae)",,423,9,65,83,"Ephemeroptera, Heptageniidae, Rhitheogena, mayfly, Europe",,0,8,1
"Alba-Tercedor, J. and W.L. Peters.",1985.,"Types and additional specimens of Ephemeroptera studied by Longinos Navas in the Museo de Zoologia del Ayuntamiento, Barcelona, Span.",,423,7,215,227,"types, Spain, Navas",,1,600,0
"Alba-Tercedor, J. and W.P. McCafferty.",2000.,"^Acentrella feropagus^, new species (Ephemeroptera: Baetidae): formal new name for North American ^A. lapponica^ sensu Morihara and McCafferty.",,141,111,137,139,"Baetidae, Acentrella feropagus",,0,781,0
"Alba-Tercedor, Javier and Majida El Alami.",1999.,Description of the nymphs and eggs of ^Acentrella almohades^ sp. N. from Morocco and southern Spain (Ephemeroptera: Baetidae).,,423,21,241,247,"Baetidae, Acentrella, Morocco, Spain",,0,935,0
"Alba-Tercedor, Javier and Tomas Derka.",2003.,"^Torleya nazarita^ sp. n., a new species from southern Spain (Ephemeroptera: Ephemerellidae).",,423,25,23,32,"Ephemerellidae, Spain, Torleya nazarita",,0,940,0
"Alba-Tercedor, Javier.",1998.,"Description of the imagines of ^Rhithrogena goeldini^ Sartori and Sowa, 1988, and keys for the identification of imagines of the European species of the ^R. diaphana^-subgroup (Ephemeroptera: Heptagen",,423,20,125,130,"Rhithrogena, Heptageniidae, Europe",,0,931,0
"Alba-Tercedor, Javier.",2000.,"^Habrophlebia antoninoi^ sp. n., a new species from Spain, with an account of the European species ^Habrophlebia^ Eaton, 1881 (Ephemeroptera: Leptophlebiidae, Habrophlebiinae).",,423,22,1,7,"Habrophlebia, Leptophlebiidae, Spain",,0,934,0
"Ali, S. Rashid.",1970.,Certain mayflies (Order:  Ephemeroptera) of West Pakistan.,Pakistan Journal of Science,,22,119,124,"Ephemeroptera, Pakistan,",,0,998,1
"Ali, S. Rashid.",1971.,Certain mayfly nymphs (Order; Ephemeroptera) of Azad Kashmir and Swat.,Pakistan Journal of Science,0,23,209,214,"Ephemeroptera, Pakistan,",,0,999,1
"Allan, J.D. and A.S. Flecker.",1993.,Biodiversity conservation in running waters.,,1845,43,32,43,"biodiversity, ecology, conservation, ethics, rivers, river ecosystems,",,0,290,1
"Allan, J.D. and B.P. Feifarek.",1989.,Distances travelled by drifting mayfly nymphs: factors influencing return to the substrate.,,1509,8,322,330,"drift, ecology, Ephemeroptera, Baetis, Dinygmula",,0,322,1
"Allen, R.K.",1973,Generic revisions of mayfly nymphs. 1. ^Traverella^ in North and Central America (Leptophlebiidae).,,15,66,1287,1295,"Ephemeroptera, Leptophlebiidae, Traverella, North America, Central America, systematics",,0,18,1
"Allen, R.K.",1965,The adult stages of ^Ephemerella^ (^drunella^) ^pelosa^ Mayo.,,323,41,280,282,"Ephemeroptera, Ephemerellidae, Ephemerella, Drunella pelosa",,0,31,1
